time,shortwave_radiation_instant (W/m²)
2024-03-15T00:00,0.0
2024-03-15T00:15,0.0
2024-03-15T00:30,0.0
2024-03-15T00:45,0.0
2024-03-15T01:00,0.0
2024-03-15T01:15,0.0
2024-03-15T01:30,0.0
2024-03-15T01:45,0.0
2024-03-15T02:00,0.0
2024-03-15T02:15,0.0
2024-03-15T02:30,0.0
2024-03-15T02:45,0.0
2024-03-15T03:00,0.0
2024-03-15T03:15,0.0
2024-03-15T03:30,0.0
2024-03-15T03:45,0.0
2024-03-15T04:00,0.0
2024-03-15T04:15,0.0
2024-03-15T04:30,0.0
2024-03-15T04:45,0.0
2024-03-15T05:00,0.0
2024-03-15T05:15,0.0
2024-03-15T05:30,0.0
2024-03-15T05:45,0.0
2024-03-15T06:00,0.0
2024-03-15T06:15,0.0
2024-03-15T06:30,0.0
2024-03-15T06:45,0.0
2024-03-15T07:00,0.0
2024-03-15T07:15,0.0
2024-03-15T07:30,0.0
2024-03-15T07:45,0.0
2024-03-15T08:00,0.0
2024-03-15T08:15,33.9
2024-03-15T08:30,46.3
2024-03-15T08:45,60.1
2024-03-15T09:00,78.4
2024-03-15T09:15,79.1
2024-03-15T09:30,110.2
2024-03-15T09:45,199.1
2024-03-15T10:00,256.4
2024-03-15T10:15,205.6
2024-03-15T10:30,222.2
2024-03-15T10:45,217.0
2024-03-15T11:00,211.0
2024-03-15T11:15,440.9
2024-03-15T11:30,231.0
2024-03-15T11:45,429.0
2024-03-15T12:00,314.0
2024-03-15T12:15,609.0
2024-03-15T12:30,515.5
2024-03-15T12:45,625.2
2024-03-15T13:00,633.8
2024-03-15T13:15,732.8
2024-03-15T13:30,641.0
2024-03-15T13:45,679.6
2024-03-15T14:00,727.9
2024-03-15T14:15,746.2
2024-03-15T14:30,744.5
2024-03-15T14:45,722.9
2024-03-15T15:00,711.3
2024-03-15T15:15,689.7
2024-03-15T15:30,658.4
2024-03-15T15:45,631.9
2024-03-15T16:00,599.6
2024-03-15T16:15,563.5
2024-03-15T16:30,525.4
2024-03-15T16:45,485.4
2024-03-15T17:00,441.6
2024-03-15T17:15,395.0
2024-03-15T17:30,348.6
2024-03-15T17:45,301.2
2024-03-15T18:00,252.2
2024-03-15T18:15,202.6
2024-03-15T18:30,155.1
2024-03-15T18:45,108.1
2024-03-15T19:00,63.9
2024-03-15T19:15,25.7
2024-03-15T19:30,0.0
2024-03-15T19:45,0.0
2024-03-15T20:00,0.0
2024-03-15T20:15,0.0
2024-03-15T20:30,0.0
2024-03-15T20:45,0.0
2024-03-15T21:00,0.0
2024-03-15T21:15,0.0
2024-03-15T21:30,0.0
2024-03-15T21:45,0.0
2024-03-15T22:00,0.0
2024-03-15T22:15,0.0
2024-03-15T22:30,0.0
2024-03-15T22:45,0.0
2024-03-15T23:00,0.0
2024-03-15T23:15,0.0
2024-03-15T23:30,0.0
2024-03-15T23:45,0.0
2024-03-16T00:00,0.0
2024-03-16T00:15,0.0
2024-03-16T00:30,0.0
2024-03-16T00:45,0.0
2024-03-16T01:00,0.0
2024-03-16T01:15,0.0
2024-03-16T01:30,0.0
2024-03-16T01:45,0.0
2024-03-16T02:00,0.0
2024-03-16T02:15,0.0
2024-03-16T02:30,0.0
2024-03-16T02:45,0.0
2024-03-16T03:00,0.0
2024-03-16T03:15,0.0
2024-03-16T03:30,0.0
2024-03-16T03:45,0.0
2024-03-16T04:00,0.0
2024-03-16T04:15,0.0
2024-03-16T04:30,0.0
2024-03-16T04:45,0.0
2024-03-16T05:00,0.0
2024-03-16T05:15,0.0
2024-03-16T05:30,0.0
2024-03-16T05:45,0.0
2024-03-16T06:00,0.0
2024-03-16T06:15,0.0
2024-03-16T06:30,0.0
2024-03-16T06:45,0.0
2024-03-16T07:00,0.0
2024-03-16T07:15,0.0
2024-03-16T07:30,0.0
2024-03-16T07:45,0.0
2024-03-16T08:00,20.0
2024-03-16T08:15,18.0
2024-03-16T08:30,83.7
2024-03-16T08:45,145.7
2024-03-16T09:00,198.2
2024-03-16T09:15,181.8
2024-03-16T09:30,216.9
2024-03-16T09:45,231.7
2024-03-16T10:00,235.2
2024-03-16T10:15,101.2
2024-03-16T10:30,393.3
2024-03-16T10:45,200.4
2024-03-16T11:00,309.7
2024-03-16T11:15,167.1
2024-03-16T11:30,526.2
2024-03-16T11:45,448.2
2024-03-16T12:00,431.7
2024-03-16T12:15,310.0
2024-03-16T12:30,532.6
2024-03-16T12:45,490.0
2024-03-16T13:00,638.8
2024-03-16T13:15,341.3
2024-03-16T13:30,761.2
2024-03-16T13:45,759.5
2024-03-16T14:00,747.9
2024-03-16T14:15,756.2
2024-03-16T14:30,744.5
2024-03-16T14:45,713.1
2024-03-16T15:00,681.7
2024-03-16T15:15,620.8
2024-03-16T15:30,638.8
2024-03-16T15:45,622.2
2024-03-16T16:00,588.0
2024-03-16T16:15,482.8
2024-03-16T16:30,485.7
2024-03-16T16:45,452.7
2024-03-16T17:00,383.2
2024-03-16T17:15,299.7
2024-03-16T17:30,289.0
2024-03-16T17:45,255.5
2024-03-16T18:00,221.9
2024-03-16T18:15,157.2
2024-03-16T18:30,130.4
2024-03-16T18:45,102.5
2024-03-16T19:00,58.0
2024-03-16T19:15,29.1
2024-03-16T19:30,0.9
2024-03-16T19:45,0.0
2024-03-16T20:00,0.0
2024-03-16T20:15,0.0
2024-03-16T20:30,0.0
2024-03-16T20:45,0.0
2024-03-16T21:00,0.0
2024-03-16T21:15,0.0
2024-03-16T21:30,0.0
2024-03-16T21:45,0.0
2024-03-16T22:00,0.0
2024-03-16T22:15,0.0
2024-03-16T22:30,0.0
2024-03-16T22:45,0.0
2024-03-16T23:00,0.0
2024-03-16T23:15,0.0
2024-03-16T23:30,0.0
2024-03-16T23:45,0.0
2024-03-17T00:00,0.0
2024-03-17T00:15,0.0
2024-03-17T00:30,0.0
2024-03-17T00:45,0.0
2024-03-17T01:00,0.0
2024-03-17T01:15,0.0
2024-03-17T01:30,0.0
2024-03-17T01:45,0.0
2024-03-17T02:00,0.0
2024-03-17T02:15,0.0
2024-03-17T02:30,0.0
2024-03-17T02:45,0.0
2024-03-17T03:00,0.0
2024-03-17T03:15,0.0
2024-03-17T03:30,0.0
2024-03-17T03:45,0.0
2024-03-17T04:00,0.0
2024-03-17T04:15,0.0
2024-03-17T04:30,0.0
2024-03-17T04:45,0.0
2024-03-17T05:00,0.0
2024-03-17T05:15,0.0
2024-03-17T05:30,0.0
2024-03-17T05:45,0.0
2024-03-17T06:00,0.0
2024-03-17T06:15,0.0
2024-03-17T06:30,0.0
2024-03-17T06:45,0.0
2024-03-17T07:00,0.0
2024-03-17T07:15,0.0
2024-03-17T07:30,0.0
2024-03-17T07:45,0.0
2024-03-17T08:00,23.6
2024-03-17T08:15,53.1
2024-03-17T08:30,100.7
2024-03-17T08:45,96.8
2024-03-17T09:00,197.7
2024-03-17T09:15,90.7
2024-03-17T09:30,267.8
2024-03-17T09:45,328.7
2024-03-17T10:00,374.5
2024-03-17T10:15,318.0
2024-03-17T10:30,425.3
2024-03-17T10:45,504.9
2024-03-17T11:00,525.5
2024-03-17T11:15,553.4
2024-03-17T11:30,633.3
2024-03-17T11:45,665.1
2024-03-17T12:00,683.6
2024-03-17T12:15,653.4
2024-03-17T12:30,720.6
2024-03-17T12:45,725.9
2024-03-17T13:00,744.4
2024-03-17T13:15,562.1
2024-03-17T13:30,761.1
2024-03-17T13:45,749.5
2024-03-17T14:00,757.8
2024-03-17T14:15,626.8
2024-03-17T14:30,615.5
2024-03-17T14:45,723.0
2024-03-17T15:00,691.6
2024-03-17T15:15,542.0
2024-03-17T15:30,570.0
2024-03-17T15:45,443.9
2024-03-17T16:00,390.8
2024-03-17T16:15,165.5
2024-03-17T16:30,421.8
2024-03-17T16:45,303.2
2024-03-17T17:00,354.5
2024-03-17T17:15,228.2
2024-03-17T17:30,266.4
2024-03-17T17:45,170.1
2024-03-17T18:00,174.7
2024-03-17T18:15,69.5
2024-03-17T18:30,103.8
2024-03-17T18:45,67.4
2024-03-17T19:00,71.4
2024-03-17T19:15,12.5
2024-03-17T19:30,2.3
2024-03-17T19:45,0.0
2024-03-17T20:00,0.0
2024-03-17T20:15,0.0
2024-03-17T20:30,0.0
2024-03-17T20:45,0.0
2024-03-17T21:00,0.0
2024-03-17T21:15,0.0
2024-03-17T21:30,0.0
2024-03-17T21:45,0.0
2024-03-17T22:00,0.0
2024-03-17T22:15,0.0
2024-03-17T22:30,0.0
2024-03-17T22:45,0.0
2024-03-17T23:00,0.0
2024-03-17T23:15,0.0
2024-03-17T23:30,0.0
2024-03-17T23:45,0.0
2024-03-18T00:00,0.0
2024-03-18T00:15,0.0
2024-03-18T00:30,0.0
2024-03-18T00:45,0.0
2024-03-18T01:00,0.0
2024-03-18T01:15,0.0
2024-03-18T01:30,0.0
2024-03-18T01:45,0.0
2024-03-18T02:00,0.0
2024-03-18T02:15,0.0
2024-03-18T02:30,0.0
2024-03-18T02:45,0.0
2024-03-18T03:00,0.0
2024-03-18T03:15,0.0
2024-03-18T03:30,0.0
2024-03-18T03:45,0.0
2024-03-18T04:00,0.0
2024-03-18T04:15,0.0
2024-03-18T04:30,0.0
2024-03-18T04:45,0.0
2024-03-18T05:00,0.0
2024-03-18T05:15,0.0
2024-03-18T05:30,0.0
2024-03-18T05:45,0.0
2024-03-18T06:00,0.0
2024-03-18T06:15,0.0
2024-03-18T06:30,0.0
2024-03-18T06:45,0.0
2024-03-18T07:00,0.0
2024-03-18T07:15,0.0
2024-03-18T07:30,0.0
2024-03-18T07:45,0.0
2024-03-18T08:00,31.5
2024-03-18T08:15,59.9
2024-03-18T08:30,114.1
2024-03-18T08:45,164.9
2024-03-18T09:00,208.2
2024-03-18T09:15,194.1
2024-03-18T09:30,256.9
2024-03-18T09:45,320.0
2024-03-18T10:00,412.0
2024-03-18T10:15,433.5
