Date,Simple Date,I Temperature (°F),Wind Speed (mph),Wind Gust (mph),Max Daily Gust (mph),Wind Direction (°),Hourly Rain (in/hr),Event Rain (in),Daily Rain (in),Weekly Rain (in),Monthly Rain (in),Yearly Rain (in),Relative Pressure (inHg),Humidity (%),Ultra-Violet Radiation Index,Solar Radiation (W/m^2),PM2.5 Outdoor (µg/m^3),PM2.5 Outdoor 24 Hour Average (µg/m^3),Absolute Pressure (inHg),Avg Wind Direction (10 mins) (°),Avg Wind Speed (10 mins) (mph),CO2 battery,PM2.5 Outdoor,PM2.5 Outdoor 24 Hour Average
2024-03-15 00:00:00-05:00,2024-03-15 00:00:00,36.5,2.9,3.8,25.9,328,0.0,0.0,0.0,0.0,0.0,0.23,28.43,81,0,0.0,,,28.43,332,2.5,1,308.0,308.0
2024-03-15 00:05:00-05:00,2024-03-15 00:05:00,36.0,2.7,3.8,5.6,11,0.0,0.0,0.0,0.0,0.0,0.23,28.43,82,0,0.0,,,28.43,328,2.5,1,308.0,308.0
2024-03-15 00:10:00-05:00,2024-03-15 00:10:00,35.8,1.3,3.1,6.0,342,0.0,0.0,0.0,0.0,0.0,0.23,28.43,82,0,0.0,,,28.43,342,2.2,1,308.0,308.0
2024-03-15 00:15:00-05:00,2024-03-15 00:15:00,35.6,2.7,5.6,6.0,318,0.0,0.0,0.0,0.0,0.0,0.23,28.44,82,0,0.0,,,28.44,348,2.0,1,308.0,308.0
2024-03-15 00:20:00-05:00,2024-03-15 00:20:00,35.2,1.1,4.5,6.0,14,0.0,0.0,0.0,0.0,0.0,0.23,28.44,82,0,0.0,,,28.44,355,2.5,1,308.0,308.0
2024-03-15 00:25:00-05:00,2024-03-15 00:25:00,35.1,2.0,3.8,6.0,357,0.0,0.0,0.0,0.0,0.0,0.23,28.43,83,0,0.0,,,28.43,346,2.2,1,308.0,308.0
2024-03-15 00:30:00-05:00,2024-03-15 00:30:00,34.7,1.8,4.5,6.0,14,0.0,0.0,0.0,0.0,0.0,0.23,28.44,83,0,0.0,,,28.44,12,1.6,1,308.0,308.0
2024-03-15 00:35:00-05:00,2024-03-15 00:35:00,34.7,1.6,3.8,6.0,355,0.0,0.0,0.0,0.0,0.0,0.23,28.43,83,0,0.0,,,28.43,9,1.6,1,308.0,308.0
2024-03-15 00:40:00-05:00,2024-03-15 00:40:00,34.5,1.3,3.4,6.0,342,0.0,0.0,0.0,0.0,0.0,0.23,28.43,83,0,0.0,,,28.43,348,1.6,1,308.0,308.0
2024-03-15 00:45:00-05:00,2024-03-15 00:45:00,34.3,1.1,2.9,6.0,354,0.0,0.0,0.0,0.0,0.0,0.23,28.43,84,0,0.0,,,28.43,356,1.3,1,308.0,308.0
2024-03-15 00:50:00-05:00,2024-03-15 00:50:00,34.2,2.2,2.9,6.0,14,0.0,0.0,0.0,0.0,0.0,0.23,28.43,84,0,0.0,,,28.43,348,1.3,1,308.0,308.0
2024-03-15 00:55:00-05:00,2024-03-15 00:55:00,34.2,1.6,3.8,6.0,307,0.0,0.0,0.0,0.0,0.0,0.23,28.43,85,0,0.0,,,28.43,8,1.3,1,308.0,308.0
2024-03-15 01:00:00-05:00,2024-03-15 01:00:00,34.2,0.0,3.1,6.0,339,0.0,0.0,0.0,0.0,0.0,0.23,28.43,84,0,0.0,,,28.43,345,1.6,1,308.0,308.0
2024-03-15 01:05:00-05:00,2024-03-15 01:05:00,34.0,1.6,2.5,6.0,5,0.0,0.0,0.0,0.0,0.0,0.23,28.43,85,0,0.0,,,28.43,324,1.3,1,308.0,308.0
2024-03-15 01:10:00-05:00,2024-03-15 01:10:00,33.8,2.0,3.1,6.0,330,0.0,0.0,0.0,0.0,0.0,0.23,28.44,85,0,0.0,,,28.44,349,1.3,1,308.0,308.0
2024-03-15 01:15:00-05:00,2024-03-15 01:15:00,33.6,0.0,5.6,6.0,341,0.0,0.0,0.0,0.0,0.0,0.23,28.43,85,0,0.0,,,28.43,349,2.0,1,308.0,308.0
2024-03-15 01:20:00-05:00,2024-03-15 01:20:00,33.6,0.0,7.2,7.2,356,0.0,0.0,0.0,0.0,0.0,0.23,28.44,86,0,0.0,,,28.44,318,1.8,1,308.0,308.0
2024-03-15 01:25:00-05:00,2024-03-15 01:25:00,33.6,2.0,3.6,7.2,307,0.0,0.0,0.0,0.0,0.0,0.23,28.44,85,0,0.0,,,28.44,310,1.8,1,308.0,308.0
2024-03-15 01:30:00-05:00,2024-03-15 01:30:00,33.4,2.7,2.9,7.2,315,0.0,0.0,0.0,0.0,0.0,0.23,28.43,86,0,0.0,,,28.43,0,1.6,1,308.0,308.0
2024-03-15 01:35:00-05:00,2024-03-15 01:35:00,33.3,2.0,2.9,7.2,0,0.0,0.0,0.0,0.0,0.0,0.23,28.43,86,0,0.0,,,28.43,351,1.3,1,308.0,308.0
2024-03-15 01:40:00-05:00,2024-03-15 01:40:00,32.9,0.0,2.7,7.2,320,0.0,0.0,0.0,0.0,0.0,0.23,28.44,87,0,0.0,,,28.44,351,1.3,1,308.0,308.0
2024-03-15 01:45:00-05:00,2024-03-15 01:45:00,32.9,1.1,3.4,7.2,277,0.0,0.0,0.0,0.0,0.0,0.23,28.45,87,0,0.0,,,28.45,345,1.6,1,308.0,308.0
2024-03-15 01:50:00-05:00,2024-03-15 01:50:00,32.7,2.0,4.7,7.2,334,0.0,0.0,0.0,0.0,0.0,0.23,28.45,87,0,0.0,,,28.45,345,1.6,1,308.0,308.0
2024-03-15 01:55:00-05:00,2024-03-15 01:55:00,32.7,2.7,6.3,7.2,311,0.0,0.0,0.0,0.0,0.0,0.23,28.44,88,0,0.0,,,28.44,333,2.9,1,308.0,308.0
2024-03-15 02:00:00-05:00,2024-03-15 02:00:00,32.4,3.6,7.4,7.4,336,0.0,0.0,0.0,0.0,0.0,0.23,28.45,89,0,0.0,,,28.45,312,4.0,1,308.0,308.0
